,CODMUNRES
352750,305
3536406,304
3545100,302
3552908,301
351580,300
3511904,300
3543204,300
3541109,299
353100,299
3542305,299
3549607,298
3527702,297
3547007,296
3555505,296
353215,296
351330,295
353715,295
3500550,294
3502309,293
3503505,292
355715,291
350315,290
3523008,290
3507704,290
3505351,290
351530,289
350620,288
3501202,288
3531605,287
3532108,286
3542701,285
354440,285
355520,283
355530,282
351800,277
3503000,276
352910,273
350470,272
3524501,271
3540101,268
3546504,266
3518909,266
3542800,265
3501400,263
3521200,263
3517109,263
354470,262
3500808,261
3528908,261
354085,260
3529500,255
3536109,251
352965,251
3529609,250
3516804,247
3532702,247
3527801,246
354720,246
3508900,245
3512506,245
3500758,244
3548401,244
351385,244
350745,244
3541059,243
3528205,243
350335,243
3539608,242
352585,240
3509106,240
3556909,240
3555356,240
3530409,238
3510153,236
3553856,236
3554607,235
3535903,232
3522158,228
3515905,228
3515194,228
3508207,227
3543600,227
355695,226
3507308,225
3502408,225
3531704,224
3538303,224
3525607,224
3516101,220
3520806,219
3533809,218
3505005,216
3500204,214
355570,214
354625,214
3509957,213
3524907,213
3521101,213
3543105,210
3528304,210
3502002,209
350395,207
354765,207
3532207,205
353657,205
354925,204
351565,204
3512704,202
355590,201
3522653,199
3500600,196
3500907,195
3525409,194
3547403,193
3546207,193
3530904,193
3533254,192
3534005,192
3527504,191
3540259,190
3552551,190
3510104,188
3503158,188
3501509,188
3522000,185
3532058,180
3534203,177
3516853,177
3539707,177
3519253,176
3554656,176
3549201,175
3527900,174
3514924,172
3528700,172
3514957,171
3530003,170
3544509,170
3518008,169
3515129,168
3540309,168
3545506,167
3549003,165
3533304,165
3515806,165
3548302,164
3547106,163
3537156,162
3532843,162
3536901,159
3516507,159
3533106,158
3553658,158
355475,157
3514205,156
3555307,154
3534500,153
3544707,153
3510906,151
3546108,149
3551306,148
3527256,145
3521150,142
3513306,141
3529104,141
3543238,139
3549300,139
3515301,139
3536257,137
3544400,137
3547205,136
3533205,135
3541802,134
3506201,134
3555208,132
3541653,131
3507159,131
3503950,131
353286,127
3507456,127
3531001,125
3529658,123
3503356,119
3540853,119
3507753,115
3557154,111
3536570,111
3555901,105
3525854,104
3532157,104
3528858,102
3556958,96
350720,95
3513850,92
3546256,88
3549250,86
3504701,80
3515657,79
3555703,74
3547650,73
3554755,65
3532868,48
3507209,42
3580586,16
3580388,1
3580479,1
3580370,1
3580495,1
3580313,1
3580289,1
3580180,1
3580073,1
3580396,1
3580271,1
