iter	Passed	Remaining
934	113880	7916
935	113904	7788
936	113926	7659
937	113949	7531
938	113972	7403
939	113994	7276
940	114019	7148
941	114043	7021
942	114069	6895
943	114093	6768
944	114115	6641
945	114137	6515
946	114161	6389
947	114183	6263
948	114205	6137
949	114228	6012
950	114250	5886
951	114272	5761
952	114295	5636
953	114319	5512
954	114344	5387
955	114368	5263
956	114389	5139
957	114411	5015
958	114434	4892
959	114457	4769
960	114481	4645
961	114501	4522
962	114525	4400
963	114549	4277
964	114570	4155
965	114594	4033
966	114619	3911
967	114641	3789
968	114664	3668
969	114691	3547
970	114713	3426
971	114735	3305
972	114756	3184
973	114780	3063
974	114803	2943
975	114827	2823
976	114851	2703
977	114878	2584
978	114900	2464
979	114923	2345
980	114945	2226
981	114966	2107
982	114988	1988
983	115013	1870
984	115036	1751
985	115058	1633
986	115080	1515
987	115107	1398
988	115131	1280
989	115154	1163
990	115176	1046
991	115199	929
992	115222	812
993	115244	695
994	115266	579
995	115289	463
996	115310	346
997	115332	231
998	115360	115
999	115386	0
