iter	Passed	Remaining
982	28054	485
983	28084	456
984	28113	428
985	28136	399
986	28163	370
987	28185	342
988	28206	313
989	28229	285
990	28254	256
991	28279	228
992	28301	199
993	28323	170
994	28350	142
995	28386	114
996	28410	85
997	28437	56
998	28461	28
999	28485	0
