iter	MultiClass	Accuracy
266	1.52306499	0.5320171451
267	1.522137087	0.5325366931
268	1.521370729	0.5334459021
269	1.52064377	0.5335757891
270	1.518240587	0.53526432
271	1.515532979	0.535394207
272	1.514135475	0.537082738
273	1.511990105	0.538511495
274	1.51053231	0.540070139
275	1.510028444	0.539680478
276	1.509347179	0.540589687
277	1.508385137	0.540979348
278	1.507422231	0.542148331
279	1.506260553	0.5431874269
280	1.504825423	0.5430575399
281	1.503346474	0.5444862969
282	1.502353179	0.5450058449
283	1.500733227	0.5455253929
284	1.499617498	0.5450058449
285	1.498303798	0.5466943759
286	1.496458203	0.5486426809
287	1.495009249	0.5492921159
288	1.493760295	0.5490323419
289	1.492472508	0.5499415509
290	1.491086502	0.5524094038
291	1.489958005	0.5522795168
292	1.488576977	0.5527990648
293	1.487948943	0.5527990648
294	1.486723115	0.5515001948
295	1.48519597	0.5533186128
296	1.484226819	0.5540979348
297	1.483326884	0.5551370308
298	1.482362422	0.5557864658
299	1.481653935	0.5557864658
300	1.4809198	0.5555266918
301	1.479915814	0.5563060138
302	1.478587164	0.5569554488
303	1.477199116	0.5574749968
304	1.476381065	0.5578646577
305	1.474909163	0.5577347707
306	1.473694562	0.5592934147
307	1.472608542	0.5591635277
308	1.471253402	0.5616313807
309	1.469675621	0.5625405897
310	1.468079053	0.5635796857
311	1.466518257	0.5635796857
312	1.465597842	0.5637095727
313	1.464965508	0.5637095727
314	1.464372592	0.5639693467
315	1.463396017	0.5644888947
316	1.462103517	0.5661774256
317	1.460378367	0.5659176516
318	1.458682256	0.5665670866
319	1.457280573	0.5683855046
320	1.456038493	0.5692947136
321	1.455096611	0.5694246006
322	1.454033167	0.5691648266
323	1.452457141	0.5703338096
324	1.451277639	0.5708533576
325	1.449562503	0.5728016626
326	1.44841482	0.5742304195
327	1.447587706	0.5747499675
328	1.446194905	0.5753994025
329	1.444669767	0.5757890635
330	1.443478387	0.5772178205
331	1.442306484	0.5770879335
332	1.44135821	0.5779971425
333	1.439937753	0.5791661255
334	1.438548795	0.5796856735
335	1.437840532	0.5803351085
336	1.436652917	0.5815040914
337	1.435997204	0.5822834134
338	1.434323076	0.5831926224
339	1.433431307	0.5847512664
340	1.43125767	0.5847512664
341	1.430286799	0.5856604754
342	1.429192768	0.5856604754
343	1.427389539	0.5869593454
344	1.426139993	0.5885179893
345	1.424411043	0.5895570853
346	1.422895942	0.5904662943
347	1.42183464	0.5918950513
348	1.42067024	0.5902065203
349	1.418496897	0.5905961813
350	1.417365947	0.5903364073
351	1.416035991	0.5925444863
352	1.414288613	0.5928042603
353	1.413182008	0.5942330173
354	1.411984462	0.5956617743
355	1.411025402	0.5951422263
356	1.409779699	0.5954020003
357	1.408679639	0.5957916613
358	1.407766093	0.5959215483
359	1.4070093	0.5968307572
360	1.406151248	0.5967008702
361	1.404989907	0.5960514353
362	1.404172385	0.5970905312
363	1.402713754	0.5970905312
364	1.401402437	0.5983894012
365	1.400124157	0.6000779322
366	1.398838115	0.6013768022
367	1.397354689	0.6018963502
368	1.396676591	0.6004675932
369	1.396420999	0.5996882712
370	1.394765844	0.6016365762
371	1.393241839	0.6024158982
372	1.391677428	0.6041044291
373	1.390832228	0.6037147682
374	1.38977351	0.6042343161
375	1.388936754	0.6046239771
376	1.387464204	0.6056630731
377	1.386096477	0.6057929601
378	1.38467774	0.6080010391
379	1.383642316	0.6085205871
380	1.382557981	0.6098194571
381	1.381964818	0.6109884401
382	1.380147502	0.6112482141
383	1.378586091	0.611897649
384	1.376413838	0.613326406
385	1.374696905	0.613456293
386	1.373033806	0.614625276
387	1.371926288	0.614365502
388	1.371168166	0.615144824
389	1.370369124	0.615404598
390	1.369877651	0.615794259
391	1.368809758	0.615924146
392	1.367750874	0.617223016
393	1.366534263	0.616963242
394	1.364938198	0.616963242
395	1.363776332	0.617872451
396	1.362834215	0.61878166
397	1.361740122	0.6193012079
398	1.360811426	0.6206000779
399	1.359441954	0.6206000779
400	1.357931055	0.6211196259
401	1.356781797	0.6216391739
402	1.355676505	0.6226782699
403	1.354045824	0.6235874789
404	1.353012328	0.6242369139
405	1.351702461	0.6243668009
406	1.350644518	0.6241070269
